,Unnamed: 0,Year,Assessment,Mammals,Birds,Reptiles,Amphibians,Fishes,"Subtotal
(Vertebrates)",Insects,Molluscs,Crustaceans,Corals,Arachnids,"Velvet
worms","Horseshoe
crabs","Other
invertebrates","Subtotal
(Invertebrates)",Mosses,"Ferns &
allies",Gymnosperms,"Flowering
plants","Green
algae","Red
algae","Subtotal
(Plants)",Lichens,Mushrooms,"Brown
algae","Subtotal
(Fungi & protists)",TOTAL,"Population, total",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),No_Smoothing,Lowess(5),Index
0,0,2019,Total assessed,5.85,11.147,7.829,6.794,19.199,50.818999999999996,8.696,8.749,3.181,864,344,11,4,839,22.688000000000002,281,641,1.014,36.623000000000005,13,58,38.63,27,253,15,295,112.432,7673533972.0,25.6488355687986,65.2520417484969,9.09912268270451,0.99,0.99,0.2684111285043404
1,1,2019,Total threatened,1.244,1.486,1.409,2.2,2.674,9.013,1.6469999999999998,2.25,733.0,237,197,9,2,146,5.221,164,261,402.0,14.937999999999999,0,9,15.774000000000001,24,140,6,170,30.178,7673533972.0,25.6488355687986,65.2520417484969,9.09912268270451,0.99,0.99,0.2684111285043404
2,2,2018,Total assessed,5.692,11.126,7.127000000000001,6.722,16.803,47.47,8.037,8.627,3.18,864,324,11,4,839,21.886,102,558,1.012,25.771,13,58,27.514,23,43,15,81,96.95100000000001,7591932906.5,25.795971281553197,65.3308998355387,8.87312888290815,0.86,0.95,0.276840878381863
3,3,2018,Total threatened,1.219,1.492,1.307,2.092,2.332,8.442,1.537,2.195,733.0,237,182,9,1,146,5.04,76,249,401.0,12.564,0,9,13.299000000000001,20,33,6,59,26.84,7591932906.5,25.795971281553197,65.3308998355387,8.87312888290815,0.86,0.95,0.276840878381863
4,4,2017,Total assessed,5.6739999999999995,11.122,6.278,6.609,16.409000000000002,46.092,7.638999999999999,8.413,3.177,864,249,11,4,773,21.13,102,479,1.012,22.566,13,58,24.23,13,43,15,71,91.523,7509065705.0,25.9352650201403,65.41891330012571,8.645821679734059,0.93,0.92,0.2821258044425991
5,5,2017,Total threatened,1.204,1.469,1.215,2.1,2.386,8.374,1.4140000000000001,2.187,732.0,237,170,9,1,143,4.893,76,246,401.0,11.773,0,9,12.505,10,33,6,49,25.820999999999998,7509065705.0,25.9352650201403,65.41891330012571,8.645821679734059,0.93,0.92,0.2821258044425991
6,6,2016,Total assessed,5.567,11.120999999999999,5.337999999999999,6.534,16.134,44.693999999999996,6.587000000000001,7.276,3.177,862,212,11,4,480,18.609,102,417,1.011,20.651999999999997,13,58,22.253,8,25,15,48,85.604,7424282488.0,26.0741228258783,65.4991112069102,8.42676596721152,1.02,0.87,0.2839470118218775
7,7,2016,Total threatened,1.194,1.46,1.079,2.068,2.359,8.16,1.268,1.984,732.0,237,166,9,1,73,4.47,76,217,400.0,10.940999999999999,0,9,11.642999999999999,7,21,6,34,24.307,7424282488.0,26.0741228258783,65.4991112069102,8.42676596721152,1.02,0.87,0.2839470118218775
8,8,2015,Total assessed,5.502000000000001,10.424000000000001,4.669,6.46,14.462,41.516999999999996,5.5729999999999995,7.216,3.168,862,210,11,4,472,17.516,102,365,1.011,19.206,13,58,20.755,9,25,15,49,79.837,7338964960.0,26.215703805546198,65.5613661395616,8.22293005489227,0.9,0.83,0.291218357403209
9,9,2015,Total threatened,1.197,1.375,944.0,1.994,2.271,7.781000000000001,1.046,1.95,728.0,237,164,9,0,67,4.2010000000000005,76,197,400.0,10.550999999999998,0,9,11.232999999999999,7,22,6,35,23.25,7338964960.0,26.215703805546198,65.5613661395616,8.22293005489227,0.9,0.83,0.291218357403209
10,10,2014,Total assessed,5.513,10.425,4.414,6.414,12.457,39.223,5.303999999999999,7.2170000000000005,3.1639999999999997,856,209,11,4,453,17.218,102,360,1.01,18.195,13,58,19.738,4,1,15,20,76.199,7254228377.0,26.369451489086,65.5758196340504,8.05472887686356,0.75,0.79,0.2941377183427604
11,11,2014,Total threatened,1.199,1.3730000000000002,927.0,1.9569999999999999,2.222,7.678,993.0,1.95,725.0,235,163,9,0,65,4.14,76,194,400.0,9.905,0,9,10.584000000000001,4,1,6,11,22.413,7254228377.0,26.369451489086,65.5758196340504,8.05472887686356,0.75,0.79,0.2941377183427604
12,12,2013,Total assessed,5.506,10.065,4.204,6.409,11.172,37.356,4.61,6.809,3.1630000000000003,856,35,11,4,423,15.911,102,342,1.01,16.766,13,58,18.291,2,1,15,18,71.57600000000001,7169640142.0,26.5292486107741,65.5624423534255,7.9083090358003405,0.68,0.74,0.29739018665474454
13,13,2013,Total threatened,1.143,1.308,879.0,1.95,2.11,7.39,896.0,1.8980000000000001,723.0,235,21,9,0,40,3.822,76,187,399.0,9.394,0,9,10.065,2,1,6,9,21.285999999999998,7169640142.0,26.5292486107741,65.5624423534255,7.9083090358003405,0.68,0.74,0.29739018665474454
14,14,2012,Total assessed,5.501,10.064,3.755,6.374,10.59,36.284,4.003,6.183,2.399,858,34,11,4,50,13.542,102,311,1.012,14.177999999999999,13,58,15.674000000000001,2,1,15,18,65.518,7085763408.0,26.6941200115422,65.5249627290531,7.7809172594047,0.65,0.7,0.3086022161848652
15,15,2012,Total threatened,1.139,1.3130000000000002,807.0,1.933,2.0580000000000003,7.25,829.0,1.857,596.0,236,20,9,0,23,3.57,76,167,374.0,8.764,0,9,9.39,2,1,6,9,20.219,7085763408.0,26.6941200115422,65.5249627290531,7.7809172594047,0.65,0.7,0.3086022161848652
16,16,2011,Total assessed,5.499,10.052,3.3360000000000003,6.337999999999999,9.554,34.779,3.844,5.422000000000001,2.399,856,33,11,4,52,12.620999999999999,101,310,1.02,12.994000000000002,13,58,14.495999999999999,2,1,15,18,61.913999999999994,7002860604.0,26.8583231658647,65.47377218333901,7.667904650796349,0.61,0.67,0.3160835998320251
17,17,2011,Total threatened,1.138,1.253,772.0,1.9169999999999998,2.028,7.108,741.0,1.673,596.0,235,19,9,0,24,3.2969999999999997,80,163,377.0,8.527000000000001,0,9,9.156,2,1,6,9,19.57,7002860604.0,26.8583231658647,65.47377218333901,7.667904650796349,0.61,0.67,0.3160835998320251
18,18,2010,Total assessed,5.4910000000000005,10.027000000000001,2.806,6.296,8.847999999999999,33.468,3.2689999999999997,3.1489999999999996,2.1519999999999997,856,33,11,4,52,9.526,101,243,926.0,11.584000000000001,2,58,12.914000000000001,2,1,15,18,55.926,6921871614.0,27.0154361683035,65.4174220166435,7.567141815053017,0.73,0.65,0.328130028966849
19,19,2010,Total threatened,1.131,1.24,594.0,1.8980000000000001,1.851,6.7139999999999995,733.0,1.288,596.0,235,19,9,0,24,2.904,80,148,371.0,8.116,0,9,8.724,2,1,6,9,18.351,6921871614.0,27.0154361683035,65.4174220166435,7.567141815053017,0.73,0.65,0.328130028966849
20,20,2009,Total assessed,5.49,9.998,1.6769999999999998,6.285,4.4430000000000005,27.893,2.6189999999999998,2.306,1.735,856,32,11,4,52,7.615,95,211,909.0,10.876,2,58,12.151,2,1,15,18,47.677,6839574284.0,27.2092515515278,65.29754674645899,7.49320170201316,0.66,0.65,0.3626696310590012
21,21,2009,Total threatened,1.1420000000000001,1.2229999999999999,469.0,1.895,1.4140000000000001,6.143,711.0,1.036,606.0,235,18,9,0,24,2.639,82,139,322.0,7.9479999999999995,0,9,8.5,2,1,6,9,17.291,6839574284.0,27.2092515515278,65.29754674645899,7.49320170201316,0.66,0.65,0.3626696310590012
22,22,2008,Total assessed,5.4879999999999995,9.99,1.385,6.26,3.4810000000000003,26.604,1.2590000000000001,2.2119999999999997,1.735,856,32,11,4,52,6.1610000000000005,95,211,910.0,10.779000000000002,2,58,12.055,2,1,15,18,44.838,6756917904.0,27.4069445201475,65.1584265550791,7.434628924773492,0.55,0.65,0.37753691065613987
23,23,2008,Total threatened,1.141,1.222,423.0,1.905,1.275,5.966,626.0,978.0,606.0,235,18,9,0,24,2.496,82,139,323.0,7.904,0,9,8.457,2,1,6,9,16.928,6756917904.0,27.4069445201475,65.1584265550791,7.434628924773492,0.55,0.65,0.37753691065613987
24,24,2007,Total assessed,4.863,9.956,1.385,5.915,3.1189999999999998,25.238000000000003,1.255,2.2119999999999997,553.0,13,18,11,4,50,4.1160000000000005,92,211,909.0,10.770999999999999,2,58,12.043,2,1,15,18,41.415,6674203658.0,27.6218605506578,64.9947897965482,7.38334965279406,0.67,0.64,0.39372208137148373
25,25,2007,Total threatened,1.094,1.217,422.0,1.808,1.2009999999999998,5.742000000000001,623.0,978.0,460.0,5,10,9,0,23,2.108,79,139,321.0,7.899,0,9,8.447000000000001,2,1,6,9,16.305999999999997,6674203658.0,27.6218605506578,64.9947897965482,7.38334965279406,0.67,0.64,0.39372208137148373
26,26,2006,Total assessed,4.864,9.934,664.0,5.917999999999999,2.912,24.291999999999998,1.192,2.1630000000000003,537.0,2,18,11,4,51,3.978,93,212,908.0,10.687999999999999,0,0,11.901,2,1,0,3,40.174,6592734542.0,27.8758956079056,64.7965655455131,7.327538846581299,0.64,0.63,0.4011549758550306
27,27,2006,Total threatened,1.093,1.206,341.0,1.811,1.171,5.622000000000001,623.0,975.0,459.0,1,10,9,0,24,2.101,80,139,306.0,7.865,0,0,8.39,2,1,0,3,16.116,6592734542.0,27.8758956079056,64.7965655455131,7.327538846581299,0.64,0.63,0.4011549758550306
28,28,2004,Total assessed,4.853,9.917,499.0,5.742999999999999,1.7209999999999999,22.733,771.0,2.1630000000000003,498.0,2,18,11,4,20,3.487,93,210,907.0,10.614,0,0,11.824000000000002,2,0,0,2,38.046,6431551644.0,28.5406214628097,64.2570556087916,7.2023229283987495,0.54,0.61,0.40748041844083477
29,29,2004,Total threatened,1.101,1.213,304.0,1.77,800.0,5.188,559.0,974.0,429.0,1,10,9,0,10,1.992,80,140,305.0,7.796,0,0,8.321,2,0,0,2,15.503,6431551644.0,28.5406214628097,64.2570556087916,7.2023229283987495,0.54,0.61,0.40748041844083477
30,30,2003,Total assessed,4.789,2.1390000000000002,473.0,401.0,1.5319999999999998,9.334,768.0,2.0980000000000003,461.0,2,18,11,4,20,3.3819999999999997,93,180,907.0,8.526,0,0,9.706,2,0,0,2,22.424,6351882361.0,28.9637193867385,63.9058568643758,7.1304237488856685,0.62,0.59,0.5466910453085979
31,31,2003,Total threatened,1.13,1.194,293.0,157.0,750.0,3.5239999999999996,553.0,967.0,409.0,1,10,9,0,10,1.959,80,111,304.0,6.279,0,0,6.774,2,0,0,2,12.259,6351882361.0,28.9637193867385,63.9058568643758,7.1304237488856685,0.62,0.59,0.5466910453085979
32,32,2002,Total assessed,2.15,2.138,453.0,263.0,1.265,6.269,747.0,2.0180000000000002,459.0,2,18,11,4,19,3.278,83,0,251.0,6.816,0,0,7.15,0,0,0,0,16.697,6272752974.0,29.4135464833786,63.540964825927496,7.04548869069386,0.63,0.55,0.668802778942325
33,33,2002,Total threatened,1.137,1.192,293.0,157.0,742.0,3.5210000000000004,557.0,939.0,409.0,1,10,6,0,10,1.932,80,0,142.0,5.492000000000001,0,0,5.7139999999999995,0,0,0,0,11.167,6272752974.0,29.4135464833786,63.540964825927496,7.04548869069386,0.63,0.55,0.668802778942325
34,34,2000,Total assessed,2.133,2.123,454.0,231.0,1.2670000000000001,6.207999999999999,747.0,2.017,459.0,2,18,11,4,19,3.2769999999999997,83,0,251.0,6.688,0,0,7.022,0,0,0,0,16.507,6114332536.0,30.1581954966186,62.967714321534785,6.8740901818466105,0.4,0.5,0.6691706548736899
35,35,2000,Total threatened,1.13,1.183,296.0,146.0,752.0,3.5069999999999997,555.0,938.0,408.0,1,10,6,0,10,1.9280000000000002,80,0,141.0,5.39,0,0,5.611000000000001,0,0,0,0,11.046,6114332536.0,30.1581954966186,62.967714321534785,6.8740901818466105,0.4,0.5,0.6691706548736899
36,36,1996,Total assessed,2.0669999999999997,2.167,428.0,198.0,1.194,6.053999999999999,730.0,1.9580000000000002,458.0,2,18,11,4,19,3.2,0,0,,,0,0,,0,0,0,0,,5789623839.0,31.423058214376002,61.9634823313202,6.61345945430377,0.33,0.4,
37,37,1996,Total threatened,1.0959999999999999,1.107,253.0,124.0,734.0,3.3139999999999996,537.0,920.0,407.0,1,11,6,0,9,1.891,0,0,142.0,5.186,0,0,5.327999999999999,0,0,0,0,10.533,5789623839.0,31.423058214376002,61.9634823313202,6.61345945430377,0.33,0.4,
