Channel	Video_Id	Published	Duration
Jaime Altozano	faBivRMi2LY	03/16/2018	371
Jaime Altozano	e9ay6zMICw8	04/25/2019	576
Jaime Altozano	Mb2gw7O43ww	10/13/2018	212
Jaime Altozano	ziJuNQcJn24	06/30/2018	213
Jaime Altozano	BRBTCIK_9_g	02/01/2019	763
Jaime Altozano	OdYIS8KXdFI	11/15/2017	320
Jaime Altozano	yAnpUWKlSX4	08/30/2017	757
Jaime Altozano	SjJxG6L3_fQ	04/03/2018	578
Jaime Altozano	Z8K0fRhgrTo	09/10/2018	886
Jaime Altozano	YDX4xULlkwc	11/21/2017	300
Jaime Altozano	Y5tSMqcWnWc	03/16/2019	628
Jaime Altozano	jliAUPj0Gko	06/30/2017	286
Jaime Altozano	y5LLHZf9ebU	05/03/2017	1168
Jaime Altozano	KbIRXKP6GfY	11/17/2017	298
Jaime Altozano	GUEUlw3rDEc	10/09/2017	1141
Jaime Altozano	8i7K9GYzbIY	04/29/2019	860
Jaime Altozano	9rLc_brC8DY	09/02/2019	753
Jaime Altozano	JLpELpY1r0s	06/06/2018	460
Jaime Altozano	bvUxVEXgI4c	01/09/2018	605
Jaime Altozano	j1N8cIkStmA	10/22/2019	426
Jaime Altozano	10Y6SBoImkk	10/28/2019	940
Jaime Altozano	wjeKgEZy0vs	08/10/2018	447
Jaime Altozano	5MbcqxZvMgE	04/02/2019	1281
Jaime Altozano	omsssTH4uHc	09/12/2017	385
Jaime Altozano	7gAlFi3K6lw	07/08/2019	1151
Jaime Altozano	i89Hq_d1PfA	11/04/2019	1054
Jaime Altozano	ny61lc2xiZk	05/24/2018	1647
Jaime Altozano	o6aOC3rERF0	11/27/2017	774
Jaime Altozano	nmJqe0-TwRg	04/22/2017	253
Jaime Altozano	Mr8ICnGutYM	07/05/2017	1372
Jaime Altozano	EYJKlzOun0c	06/12/2019	852
Jaime Altozano	ykc_uICzpXk	04/23/2018	852
Jaime Altozano	5lB6kVtr4wI	07/14/2018	521
Jaime Altozano	EW9_spGNj5M	10/15/2018	339
Jaime Altozano	kwNj0sS-Gao	09/10/2017	342
Jaime Altozano	yttwGJumrrY	03/25/2019	868
Jaime Altozano	hM6ScEZWXQ0	09/15/2017	606
Jaime Altozano	xgv2I8i0hsM	06/30/2018	679
Jaime Altozano	8uNMooxXoyc	09/21/2018	179
Jaime Altozano	bOIgFXLVauY	07/23/2018	637
Jaime Altozano	R4fEx4m9VTA	02/22/2019	990
Jaime Altozano	a_H1nQkGUrE	07/30/2018	595
Jaime Altozano	bJijFXEAW4I	09/24/2019	499
Jaime Altozano	2LyEpA4B9_o	02/22/2018	1310
Jaime Altozano	KE2huYJQtK4	03/07/2017	219
Jaime Altozano	ySa67e0jKNA	06/14/2018	1102
Jaime Altozano	Wx75QdO2_dA	09/11/2017	386
Jaime Altozano	oT9vAL5RCBg	09/19/2017	495
Jaime Altozano	VEVIAF_2tUM	12/16/2017	1315
Jaime Altozano	-EUgZFRYiWo	12/07/2017	896
Ter	bloOQd5YUQg	05/31/2019	937
Ter	m3Gy_A1mkHI	08/01/2019	434
Ter	3N4hD86RjeM	05/01/2017	180
Ter	1pR5L1mrKCU	10/31/2019	883
Ter	hqb0m16QzwU	10/01/2016	82
Ter	LDwN92V7HOo	09/18/2019	583
Ter	U3tm-wumJb8	11/07/2019	571
Ter	15CXY6JAqbk	06/15/2019	567
Ter	B6Po8zQibzQ	05/09/2019	776
Ter	SqGLbwumCgs	04/19/2018	493
Ter	h5DY5GD3uF0	06/09/2019	768
Ter	53La8aED4Ck	10/23/2017	665
Ter	FMb31WD4wG0	06/14/2018	651
Ter	tqHWqyzZjbE	03/29/2019	468
Ter	UlszqT_DEpE	10/13/2018	1024
Ter	g-ekeqzo5NM	09/25/2019	488
Ter	BciOxuqGdpk	03/21/2019	612
Ter	doWzoQOcn-0	11/14/2016	531
Ter	Y85z-k434vY	03/20/2017	544
Ter	kMlLqc-es80	10/07/2016	90
Ter	pQdCs0nQU4o	05/28/2018	655
Ter	8QAWUT69Pm0	06/03/2019	824
Ter	OEo_-5OIeIE	10/20/2018	1097
Ter	xHRjIyn9RnY	08/07/2017	809
Ter	orvu1ykqzOE	10/16/2018	351
Ter	t0RHWYuOZnA	07/06/2019	496
Ter	dhSalBVY3iA	12/19/2018	678
Ter	lt2zo2ub6Dg	12/11/2017	680
Ter	9YwmZgEelLs	05/03/2019	568
Ter	ICydVoIn35A	10/18/2019	813
Ter	htkZeVzVgxI	07/02/2018	698
Ter	aGdiAZWmoIQ	10/24/2016	805
Ter	3ZjRvNcTjyo	11/17/2016	468
Ter	Cy-_q908_mQ	12/17/2018	763
Ter	hTX3tqRZpgQ	07/24/2017	851
Ter	3C_-kVGDeIQ	05/31/2018	907
Ter	UtwHnC4fM3c	05/11/2018	935
Ter	-YARoSwQd-g	11/11/2019	723
Ter	hMxq-LuKYCY	10/02/2017	609
Ter	Qfcc2edympk	07/29/2019	1002
Ter	nQ7mP2WHUGw	07/17/2019	1208
Ter	YUfFw8qlKfU	10/14/2019	568
Ter	HgD-VJ9bhVo	10/09/2018	841
Ter	PyCnS6yNt34	10/30/2018	627
Ter	XF4C1jaA4Lk	05/02/2018	790
Ter	3DCZgQnyDek	03/16/2019	1055
Ter	7VHO2Wmco_M	03/13/2017	290
Ter	OI-2tAew6JY	02/15/2018	612
Ter	HNh73us07P0	11/24/2016	492
Ter	2SLWktEO-UI	06/06/2018	812
Cocina Veggikinga	OJHz4oBWFCg	07/02/2019	505
Cocina Veggikinga	_An1n7T6dgA	04/11/2019	605
Cocina Veggikinga	71lJvZ_-VzE	03/23/2019	389
Cocina Veggikinga	4pYslo81WDc	10/04/2019	426
Cocina Veggikinga	35quC32Ml-U	05/02/2019	683
Cocina Veggikinga	lszwy2JmvjM	07/08/2019	665
Cocina Veggikinga	uhO2IMykSBY	08/16/2019	459
Cocina Veggikinga	HITWljqtFjg	08/06/2019	395
Cocina Veggikinga	WSyxNY_l80g	04/24/2019	602
Cocina Veggikinga	MlEgtFIE1-c	08/10/2019	546
Cocina Veggikinga	ev4uJRU2Ofc	05/13/2019	601
Cocina Veggikinga	RGeTsjBLjLA	08/13/2019	846
Cocina Veggikinga	epTUhikSRzc	06/23/2019	854
Cocina Veggikinga	kS5lrdrkRYY	09/13/2019	433
Cocina Veggikinga	N4MEOslkiyc	05/29/2019	516
Cocina Veggikinga	yo6408refVI	06/29/2019	505
Cocina Veggikinga	UuYYBW2SIN4	05/23/2019	673
Cocina Veggikinga	HUWQeAA_htw	05/09/2019	621
Cocina Veggikinga	Mc-z2pAJo04	03/29/2019	860
Cocina Veggikinga	_7hiOe_08RU	07/16/2019	973
Cocina Veggikinga	GpcpUOM16lM	08/27/2019	958
Cocina Veggikinga	9VNyM0XREu0	06/06/2019	508
Cocina Veggikinga	9npGdKuWjXY	09/04/2019	718
Cocina Veggikinga	0PlwlBDkOqs	08/01/2019	739
Cocina Veggikinga	jHIpjFQsyOc	07/20/2019	617
Cocina Veggikinga	Imqwv0UX1PE	09/10/2019	806
Cocina Veggikinga	G8Qo_sFq3Cc	06/18/2019	690
Cocina Veggikinga	RHkPH2-rbCc	10/15/2019	507
Cocina Veggikinga	Rk9_XQpWoN8	07/12/2019	604
Cocina Veggikinga	Qait5TkuLTw	04/18/2019	602
Cocina Veggikinga	uiZEfDUBoQQ	09/25/2019	791
Cocina Veggikinga	O6RSWPP1_X0	03/13/2019	878
Cocina Veggikinga	SQpfsSBNEOw	10/08/2019	786
Cocina Veggikinga	2mIzvQbcM0Y	04/07/2019	890
Cocina Veggikinga	ZBeJQMQ7enE	10/11/2019	603
Cocina Veggikinga	DYTig0atPhk	08/30/2019	453
Cocina Veggikinga	QVs7w7Nxy5M	10/24/2019	618
Cocina Veggikinga	IZrsHlSjmDk	03/05/2019	696
Cocina Veggikinga	jBosUUgULhg	07/24/2019	555
Cocina Veggikinga	OdcL8Vdm-fM	05/18/2019	822
Cocina Veggikinga	o-M1Lg_NtKc	06/10/2019	780
Cocina Veggikinga	2c4gwFBD4Rg	06/03/2019	880
Cocina Veggikinga	blBLig_iGNA	03/01/2019	443
Cocina Veggikinga	jGMdkffElq4	04/27/2019	941
Cocina Veggikinga	khVD00ItdQU	09/07/2019	1547
Cocina Veggikinga	rmW626L1buU	09/20/2019	613
Cocina Veggikinga	Xbk4BVInzEg	06/14/2019	2203
Cocina Veggikinga	523nHbXi1fs	11/01/2019	422
Cocina Veggikinga	g_WYCyxYjVQ	08/20/2019	920
Cocina Veggikinga	kWmNgqepVM4	03/18/2019	958
